"date";"NO2";"CO";"O3";"PM10";"PM25";"SO2";"indPM10"
2022-01-01;34.525;0.414208333333333;14.9166666666667;28.6;18.3791666666667;1.07333333333333;"Bom"
2022-01-02;27.9;0.372791666666667;14.125;33.4458333333333;17.8083333333333;1.25294117647059;"Bom"
2022-01-03;26.0875;0.262125;21.875;14.4875;6.7375;0.6;"Muito bom"
2022-01-04;25.2958333333333;0.210958333333333;51.9166666666667;17.0916666666667;6.49166666666667;0.7125;"Muito bom"
2022-01-05;28.4625;0.219583333333333;50.5;15.0541666666667;4.17916666666667;0.958333333333333;"Muito bom"
2022-01-06;25.9916666666667;NA;52.9583333333333;18.7625;4.5;0.958333333333333;"Muito bom"
2022-01-07;27.4041666666667;0.393;49.6666666666667;15.1;NA;0.658333333333333;"Muito bom"
2022-01-08;33.6125;0.323541666666667;30.6666666666667;17.3291666666667;6.94761904761905;1.77083333333333;"Muito bom"
2022-01-09;25.8833333333333;0.342833333333333;52.2083333333333;17.3083333333333;11.7;1.73333333333333;"Muito bom"
2022-01-10;22.7875;0.204041666666667;51.7083333333333;8.37916666666667;NA;0.554166666666667;"Muito bom"
2022-01-11;30.9333333333333;0.401583333333333;26;13.7526315789474;9.76666666666667;0.48695652173913;"Muito bom"
2022-01-12;36.9666666666667;0.234739130434783;22.2916666666667;13.4791666666667;8.69166666666667;0.421739130434783;"Muito bom"
2022-01-13;24.6375;0.29775;40.7083333333333;11.5166666666667;5.725;0.645833333333333;"Muito bom"
2022-01-14;35.0125;0.232375;31.5909090909091;15.4736842105263;8.37894736842105;0.808333333333333;"Muito bom"
2022-01-15;35.5;0.524833333333333;31;20.9541666666667;13.9083333333333;1.34166666666667;"Bom"
2022-01-16;35.7875;0.496958333333333;26.0833333333333;28.1;17.95;1.09583333333333;"Bom"
2022-01-17;46.8375;0.411041666666667;21.4166666666667;26.4416666666667;16.7083333333333;1.42083333333333;"Bom"
2022-01-18;43.5416666666667;0.542458333333333;28.5833333333333;27.0208333333333;18.2125;1.50416666666667;"Bom"
2022-01-19;54.325;0.612625;16.2083333333333;33.9583333333333;27.2541666666667;1.09166666666667;"Bom"
2022-01-20;53.7416666666667;0.570583333333333;14.9166666666667;34.9083333333333;26.3041666666667;0.6625;"Bom"
2022-01-21;44.3875;0.508041666666667;23.4166666666667;25.8291666666667;15.3166666666667;0.7375;"Bom"
2022-01-22;25.5208333333333;0.253208333333333;45.375;12.55;7.9125;1.12083333333333;"Muito bom"
2022-01-23;24.925;0.38675;45.25;13.0125;9.42083333333333;1.12916666666667;"Muito bom"
2022-01-24;40.9833333333333;0.310958333333333;29.5416666666667;12.6833333333333;8.175;0.582608695652174;"Muito bom"
2022-01-25;40.8708333333333;0.304291666666667;33.125;14.9208333333333;7.47916666666667;1.44583333333333;"Muito bom"
2022-01-26;38.6041666666667;0.227625;36.5833333333333;14.5458333333333;7.45;1.02083333333333;"Muito bom"
2022-01-27;34.8625;0.271333333333333;39.1666666666667;18.4708333333333;6.72916666666667;1.34166666666667;"Muito bom"
2022-01-28;39.5041666666667;0.271208333333333;41.125;22.9625;9.81666666666667;1.21666666666667;"Bom"
2022-01-29;33.7291666666667;0.326291666666667;46;17.4416666666667;6.49166666666667;1.11666666666667;"Muito bom"
2022-01-30;37.5333333333333;0.6634;41.0833333333333;15.7541666666667;9.69583333333333;1.475;"Muito bom"
2022-01-31;44.6666666666667;0.469041666666667;28.4583333333333;32.3166666666667;21.9166666666667;1.6;"Bom"
2022-02-01;58.1958333333333;0.5775;27.4583333333333;29.2833333333333;17.3375;1.5375;"Bom"
2022-02-02;56.5875;0.369875;28;27.675;13.95;1.47083333333333;"Bom"
2022-02-03;68.3875;0.514375;9.95833333333333;40.7125;23.225;0.783333333333333;"Medio"
2022-02-04;44.1708333333333;0.400125;32.7916666666667;26.3041666666667;15.0875;0.958333333333333;"Bom"
2022-02-05;15.2541666666667;0.1805;65.7083333333333;15.5875;7.825;0.970833333333333;"Muito bom"
2022-02-06;24.8083333333333;0.248666666666667;51.875;13.1625;7.3625;0.995833333333333;"Muito bom"
2022-02-07;52.7125;0.390666666666667;30.0416666666667;17.8916666666667;10.05;1.46666666666667;"Muito bom"
2022-02-08;60.4333333333333;0.549333333333333;29.3333333333333;30.3083333333333;15.2958333333333;1.24583333333333;"Bom"
2022-02-09;58.7083333333333;0.552375;21.875;40.6375;21.2916666666667;0.779166666666667;"Medio"
2022-02-10;62.5875;0.561666666666667;10.4583333333333;47.6333333333333;27.3583333333333;2.05;"Medio"
2022-02-11;63.5458333333333;0.480875;22.3333333333333;47.9666666666667;22.5833333333333;1.3125;"Medio"
2022-02-12;40.9625;0.404625;38.1666666666667;35.9083333333333;18.0166666666667;1.86666666666667;"Medio"
2022-02-13;37.1333333333333;0.413739130434783;44.4583333333333;20.1083333333333;8.53333333333333;0.666666666666667;"Bom"
2022-02-14;37.6333333333333;0.27125;47.625;15.6708333333333;4.7625;1.09166666666667;"Muito bom"
2022-02-15;45.2041666666667;0.349958333333333;39.7083333333333;20.4166666666667;7.03333333333333;0.858333333333333;"Bom"
